,0
EUW1_6883129810,True
EUW1_6882416210,False
EUW1_6881092720,False
EUW1_6879405717,False
EUW1_6879389461,True
EUW1_6879371828,False
EUW1_6878383684,True
EUW1_6878298308,True
EUW1_6878182424,True
EUW1_6878139143,False
EUW1_6878103014,True
EUW1_6878057215,False
EUW1_6878033584,False
EUW1_6878003846,True
EUW1_6877975035,True
EUW1_6875344552,False
EUW1_6875306770,False
EUW1_6875259973,False
EUW1_6875217596,True
EUW1_6875197822,False
EUW1_6879360874,False
EUW1_6869300631,False
EUW1_6869276441,False
EUW1_6869246594,False
EUW1_6829920333,True
EUW1_6882482484,True
EUW1_6882456043,True
EUW1_6882436994,True
EUW1_6882425551,True
EUW1_6880935420,True
EUW1_6880909380,True
EUW1_6880890229,False
EUW1_6879474161,False
EUW1_6879450066,True
EUW1_6879424931,False
EUW1_6879325614,False
EUW1_6879310911,False
EUW1_6878006751,False
EUW1_6877969177,False
EUW1_6877956644,True
EUW1_6877891153,False
EUW1_6877879899,False
EUW1_6877867925,False
EUW1_6877850091,True
EUW1_6879349198,False
EUW1_6872767863,False
EUW1_6872712198,True
EUW1_6872638403,True
EUW1_6872613273,True
EUW1_6870154666,True
EUW1_6869224469,True
EUW1_6869187175,True
EUW1_6869159452,True
EUW1_6867771512,True
EUW1_6867736241,True
EUW1_6867728692,True
EUW1_6867706172,True
EUW1_6867692806,False
EUW1_6867677699,True
EUW1_6867663986,True
EUW1_6867658653,True
EUW1_6866602810,True
EUW1_6883322609,True
EUW1_6883246513,False
EUW1_6883171691,True
EUW1_6882840815,False
EUW1_6882786083,True
EUW1_6881799024,True
EUW1_6881697918,False
EUW1_6879962130,False
EUW1_6879899279,True
EUW1_6879616200,False
EUW1_6879474038,True
EUW1_6879440356,True
EUW1_6879427639,False
EUW1_6879399367,True
EUW1_6878860917,True
EUW1_6878800720,True
EUW1_6878753644,True
EUW1_6878702910,False
EUW1_6878658793,False
EUW1_6881065995,False
EUW1_6881016403,False
EUW1_6880972212,True
EUW1_6880905919,False
EUW1_6880887817,False
EUW1_6880876517,False
EUW1_6880857669,False
EUW1_6879724981,True
EUW1_6879641249,False
EUW1_6879605389,False
EUW1_6879548140,False
EUW1_6879516026,True
EUW1_6879477830,False
EUW1_6879416454,False
EUW1_6879395202,True
EUW1_6878727750,False
EUW1_6878668033,True
EUW1_6878594652,True
EUW1_6883426016,True
EUW1_6882923538,False
EUW1_6882415490,True
EUW1_6882392893,False
EUW1_6881540057,False
EUW1_6881474931,False
EUW1_6881140491,False
EUW1_6881049630,True
EUW1_6881015899,True
EUW1_6880971360,True
EUW1_6880953683,True
EUW1_6880919285,True
EUW1_6880708911,True
EUW1_6880677044,False
EUW1_6880486949,True
EUW1_6880419347,False
EUW1_6880357829,False
EUW1_6880291602,False
EUW1_6879986819,True
EUW1_6879774455,True
EUW1_6879533217,False
EUW1_6879504011,False
EUW1_6879473510,True
EUW1_6879429807,True
EUW1_6879415577,True
EUW1_6879369009,True
EUW1_6879362596,False
EUW1_6879328443,False
EUW1_6879320011,False
EUW1_6878045943,False
EUW1_6878001527,True
EUW1_6877966845,True
EUW1_6883451934,False
EUW1_6883396806,True
EUW1_6880795048,False
EUW1_6880775183,False
EUW1_6880761807,True
EUW1_6879619336,False
EUW1_6879561243,True
EUW1_6879356460,True
EUW1_6879339844,True
EUW1_6868199566,True
EUW1_6868139201,True
EUW1_6868082263,False
EUW1_6808036707,True
EUW1_6793327751,True
EUW1_6793280673,True
EUW1_6782802885,True
EUW1_6883090969,True
EUW1_6882971613,False
EUW1_6881336498,False
EUW1_6880977444,True
EUW1_6880831027,True
EUW1_6880019896,False
EUW1_6879984965,True
EUW1_6879392451,False
EUW1_6878691339,False
EUW1_6878618879,True
EUW1_6849046095,True
EUW1_6838707119,True
EUW1_6838495999,False
EUW1_6838429031,False
EUW1_6819232669,False
EUW1_6816947440,False
EUW1_6816888146,True
EUW1_6813819315,False
EUW1_6813780009,True
EUW1_6883736386,False
EUW1_6883726492,True
EUW1_6882964887,False
EUW1_6882485375,False
EUW1_6882461379,False
EUW1_6882367191,True
EUW1_6881208146,True
EUW1_6881172520,True
EUW1_6880959372,True
EUW1_6879380283,True
